Date,Time,Call Volume,AHT
02-01-2018,21:30,574,332
02-01-2018,22:00,595,331
02-01-2018,22:30,544,340
02-01-2018,23:00,539,331
02-01-2018,23:30,599,337
03-01-2018,00:00,475,400
03-01-2018,00:30,495,395
03-01-2018,01:00,460,386
03-01-2018,01:30,481,387
03-01-2018,02:00,462,394
03-01-2018,02:30,486,394
03-01-2018,03:00,518,397
03-01-2018,03:30,467,400
03-01-2018,04:00,530,392
03-01-2018,04:30,480,389
03-01-2018,05:00,509,384
03-01-2018,05:30,474,393
03-01-2018,06:00,478,398
03-01-2018,06:30,483,398
03-01-2018,07:00,479,384
03-01-2018,07:30,475,398
03-01-2018,08:00,454,383
03-01-2018,08:30,481,398
03-01-2018,09:00,513,399
03-01-2018,09:30,458,396
03-01-2018,10:00,709,391
03-01-2018,10:30,738,390
03-01-2018,11:00,766,398
03-01-2018,11:30,751,389
03-01-2018,12:00,774,393
03-01-2018,12:30,736,396
03-01-2018,13:00,737,400
03-01-2018,13:30,697,396
03-01-2018,14:00,679,387
03-01-2018,14:30,711,399
03-01-2018,15:00,708,390
03-01-2018,15:30,717,384
03-01-2018,16:00,702,399
03-01-2018,16:30,733,388
03-01-2018,17:00,457,390
03-01-2018,17:30,475,386
03-01-2018,18:00,456,396
03-01-2018,18:30,492,395
03-01-2018,19:00,481,382
03-01-2018,19:30,478,400
03-01-2018,20:00,495,397
03-01-2018,20:30,452,398
03-01-2018,21:00,499,388
03-01-2018,21:30,474,383
03-01-2018,22:00,450,386
03-01-2018,22:30,475,385
03-01-2018,23:00,441,396
03-01-2018,23:30,525,387
04-01-2018,00:00,515,418
04-01-2018,00:30,547,424
04-01-2018,01:00,527,410
04-01-2018,01:30,527,415
04-01-2018,02:00,537,412
04-01-2018,02:30,516,424
04-01-2018,03:00,548,411
04-01-2018,03:30,529,420
04-01-2018,04:00,542,422
04-01-2018,04:30,533,415
04-01-2018,05:00,557,422
04-01-2018,05:30,616,424
04-01-2018,06:00,553,419
04-01-2018,06:30,520,408
04-01-2018,07:00,520,416
04-01-2018,07:30,539,418
04-01-2018,08:00,466,408
04-01-2018,08:30,529,420
04-01-2018,09:00,522,412
04-01-2018,09:30,519,417
04-01-2018,10:00,764,415
04-01-2018,10:30,792,411
04-01-2018,11:00,800,417
04-01-2018,11:30,797,412
04-01-2018,12:00,798,424
04-01-2018,12:30,838,418
04-01-2018,13:00,788,423
04-01-2018,13:30,780,412
04-01-2018,14:00,805,409
04-01-2018,14:30,831,411
04-01-2018,15:00,800,416
04-01-2018,15:30,798,415
04-01-2018,16:00,794,424
04-01-2018,16:30,795,410
04-01-2018,17:00,556,420
04-01-2018,17:30,518,423
04-01-2018,18:00,530,421
04-01-2018,18:30,522,413
04-01-2018,19:00,564,424
04-01-2018,19:30,506,415
04-01-2018,20:00,520,425
04-01-2018,20:30,546,424
04-01-2018,21:00,563,410
04-01-2018,21:30,568,408
04-01-2018,22:00,566,418
04-01-2018,22:30,518,423
04-01-2018,23:00,556,415
04-01-2018,23:30,569,411
05-01-2018,00:00,477,376
05-01-2018,00:30,440,378
05-01-2018,01:00,457,366
05-01-2018,01:30,448,363
05-01-2018,02:00,490,363
05-01-2018,02:30,478,369
05-01-2018,03:00,459,374
05-01-2018,03:30,494,379
05-01-2018,04:00,458,361
05-01-2018,04:30,461,368
05-01-2018,05:00,505,379
05-01-2018,05:30,495,368
05-01-2018,06:00,461,363
05-01-2018,06:30,482,375
05-01-2018,07:00,504,376
05-01-2018,07:30,466,375
05-01-2018,08:00,471,361
05-01-2018,08:30,454,375
05-01-2018,09:00,471,375
05-01-2018,09:30,492,371
05-01-2018,10:00,740,373
05-01-2018,10:30,719,378
05-01-2018,11:00,687,365
05-01-2018,11:30,695,367
05-01-2018,12:00,726,361
05-01-2018,12:30,704,370
05-01-2018,13:00,758,378
05-01-2018,13:30,695,371
05-01-2018,14:00,733,369
05-01-2018,14:30,739,363
05-01-2018,15:00,716,365
05-01-2018,15:30,691,363
05-01-2018,16:00,740,374
05-01-2018,16:30,700,372
05-01-2018,17:00,502,364
05-01-2018,17:30,500,373
05-01-2018,18:00,527,368
05-01-2018,18:30,455,378
05-01-2018,19:00,462,375
05-01-2018,19:30,472,379
05-01-2018,20:00,445,363
05-01-2018,20:30,444,376
05-01-2018,21:00,462,366
05-01-2018,21:30,443,374
05-01-2018,22:00,473,371
05-01-2018,22:30,466,368
05-01-2018,23:00,470,364
05-01-2018,23:30,503,360
06-01-2018,00:00,493,350
06-01-2018,00:30,462,339
06-01-2018,01:00,459,346
06-01-2018,01:30,474,346
06-01-2018,02:00,455,355
06-01-2018,02:30,474,356
06-01-2018,03:00,478,352
06-01-2018,03:30,455,352
06-01-2018,04:00,462,353
06-01-2018,04:30,457,353
06-01-2018,05:00,445,350
06-01-2018,05:30,463,350
06-01-2018,06:00,416,357
06-01-2018,06:30,445,343
06-01-2018,07:00,470,345
06-01-2018,07:30,440,352
06-01-2018,08:00,404,354
06-01-2018,08:30,478,356
06-01-2018,09:00,471,343
06-01-2018,09:30,453,340
06-01-2018,10:00,538,341
06-01-2018,10:30,548,351
06-01-2018,11:00,554,352
06-01-2018,11:30,577,341
06-01-2018,12:00,584,345
06-01-2018,12:30,551,342
06-01-2018,13:00,584,342
06-01-2018,13:30,538,344
06-01-2018,14:00,560,349
06-01-2018,14:30,541,357
06-01-2018,15:00,547,356
06-01-2018,15:30,525,350
06-01-2018,16:00,556,347
06-01-2018,16:30,533,348
06-01-2018,17:00,430,358
06-01-2018,17:30,470,347
06-01-2018,18:00,394,347
06-01-2018,18:30,485,347
06-01-2018,19:00,433,347
06-01-2018,19:30,403,342
06-01-2018,20:00,427,355
06-01-2018,20:30,473,346
06-01-2018,21:00,425,356
06-01-2018,21:30,459,346
06-01-2018,22:00,415,355
06-01-2018,22:30,471,340
06-01-2018,23:00,452,339
06-01-2018,23:30,524.6623424,339
07-01-2018,00:00,369,361
07-01-2018,00:30,351,377
07-01-2018,01:00,358,378
07-01-2018,01:30,379,362
07-01-2018,02:00,377,369
07-01-2018,02:30,374,362
07-01-2018,03:00,333,372
07-01-2018,03:30,373,361
07-01-2018,04:00,374,366
07-01-2018,04:30,393,373
07-01-2018,05:00,375,366
07-01-2018,05:30,360,374
07-01-2018,06:00,364,380
07-01-2018,06:30,362,361
07-01-2018,07:00,337,365
07-01-2018,07:30,389,375
07-01-2018,08:00,363,369
07-01-2018,08:30,347,373
07-01-2018,09:00,356,377
07-01-2018,09:30,393,367
07-01-2018,10:00,452,376
07-01-2018,10:30,430,361
07-01-2018,11:00,466,365
07-01-2018,11:30,406,367
07-01-2018,12:00,435,369
07-01-2018,12:30,444,378
07-01-2018,13:00,442,368
07-01-2018,13:30,470,361
07-01-2018,14:00,438,365
07-01-2018,14:30,466,363
07-01-2018,15:00,440,367
07-01-2018,15:30,447,380
07-01-2018,16:00,427,374
07-01-2018,16:30,442,366
07-01-2018,17:00,367,379
07-01-2018,17:30,367,364
07-01-2018,18:00,374,364
07-01-2018,18:30,352,375
07-01-2018,19:00,392,373
07-01-2018,19:30,350,373
07-01-2018,20:00,373,364
07-01-2018,20:30,321,373
07-01-2018,21:00,330,373
07-01-2018,21:30,366,371
07-01-2018,22:00,374,363
07-01-2018,22:30,406,370
07-01-2018,23:00,350,374
07-01-2018,23:30,389,374
08-01-2018,00:00,537,409
08-01-2018,00:30,576,413
08-01-2018,01:00,547,411
08-01-2018,01:30,564,409
08-01-2018,02:00,555,407
08-01-2018,02:30,529,402
08-01-2018,03:00,555,417
08-01-2018,03:30,622,413
08-01-2018,04:00,596,402
08-01-2018,04:30,552,404
08-01-2018,05:00,557,398
08-01-2018,05:30,599,409
08-01-2018,06:00,559,398
08-01-2018,06:30,550,401
08-01-2018,07:00,555,415
08-01-2018,07:30,538,406
08-01-2018,08:00,588,412
08-01-2018,08:30,542,407
08-01-2018,09:00,551,399
08-01-2018,09:30,564,412
08-01-2018,10:00,812,399
08-01-2018,10:30,833,399
08-01-2018,11:00,846,405
08-01-2018,11:30,876,414
08-01-2018,12:00,841,409
08-01-2018,12:30,858,412
08-01-2018,13:00,848,416
08-01-2018,13:30,857,404
08-01-2018,14:00,774,400
08-01-2018,14:30,843,410
08-01-2018,15:00,865,406
08-01-2018,15:30,855,409
08-01-2018,16:00,821,412
08-01-2018,16:30,805,402
08-01-2018,17:00,568,409
08-01-2018,17:30,562,407
08-01-2018,18:00,552,412
08-01-2018,18:30,577,403
08-01-2018,19:00,578,401
08-01-2018,19:30,532,405
08-01-2018,20:00,544,400
08-01-2018,20:30,564,412
08-01-2018,21:00,576,413
08-01-2018,21:30,547,408
08-01-2018,22:00,524,415
08-01-2018,22:30,589,406
08-01-2018,23:00,574,408
08-01-2018,23:30,586,398
09-01-2018,00:00,447,328
09-01-2018,00:30,492,331
09-01-2018,01:00,457,325
09-01-2018,01:30,515,328
09-01-2018,02:00,521,322
09-01-2018,02:30,494,329
09-01-2018,03:00,469,322
09-01-2018,03:30,519,333
09-01-2018,04:00,472,329
09-01-2018,04:30,466,325
09-01-2018,05:00,462,330
09-01-2018,05:30,505,337
09-01-2018,06:00,522,323
09-01-2018,06:30,508,335
09-01-2018,07:00,480,332
09-01-2018,07:30,515,339
09-01-2018,08:00,478,326
09-01-2018,08:30,505,329
09-01-2018,09:00,493,329
09-01-2018,09:30,530,326
09-01-2018,10:00,750,324
09-01-2018,10:30,746,335
09-01-2018,11:00,726,341
09-01-2018,11:30,731,340
09-01-2018,12:00,800,323
09-01-2018,12:30,734,334
09-01-2018,13:00,770,329
09-01-2018,13:30,758,338
09-01-2018,14:00,708,324
09-01-2018,14:30,740,334
09-01-2018,15:00,711,339
09-01-2018,15:30,706,337
09-01-2018,16:00,785,333
09-01-2018,16:30,738,336
09-01-2018,17:00,482,323
09-01-2018,17:30,462,335
09-01-2018,18:00,499,327
09-01-2018,18:30,486,335
09-01-2018,19:00,527,340
09-01-2018,19:30,463,325
09-01-2018,20:00,468,337
09-01-2018,20:30,512,341
09-01-2018,21:00,462,328
09-01-2018,21:30,482,323
09-01-2018,22:00,504,339
09-01-2018,22:30,493,338
09-01-2018,23:00,489,335
09-01-2018,23:30,500,341
10-01-2018,00:00,537,369
10-01-2018,00:30,536,367
10-01-2018,01:00,484,377
10-01-2018,01:30,517,373
10-01-2018,02:00,526,362
10-01-2018,02:30,499,366
10-01-2018,03:00,477,377
10-01-2018,03:30,516,369
10-01-2018,04:00,523,373
10-01-2018,04:30,519,363
10-01-2018,05:00,532,363
10-01-2018,05:30,515,370
10-01-2018,06:00,516,375
10-01-2018,06:30,495,360
10-01-2018,07:00,503,360
10-01-2018,07:30,523,367
10-01-2018,08:00,517,363
10-01-2018,08:30,530,376
10-01-2018,09:00,501,369
10-01-2018,09:30,510,359
10-01-2018,10:00,812,376
10-01-2018,10:30,750,361
10-01-2018,11:00,775,371
10-01-2018,11:30,822,368
10-01-2018,12:00,780,369
10-01-2018,12:30,786,375
10-01-2018,13:00,789,368
10-01-2018,13:30,757,363
10-01-2018,14:00,773,364
10-01-2018,14:30,812,370
10-01-2018,15:00,783,368
10-01-2018,15:30,774,367
10-01-2018,16:00,752,361
10-01-2018,16:30,830,359
10-01-2018,17:00,546,371
10-01-2018,17:30,555,368
10-01-2018,18:00,527,359
10-01-2018,18:30,543,368
10-01-2018,19:00,508,378
10-01-2018,19:30,514,376
10-01-2018,20:00,508,359
10-01-2018,20:30,532,371
10-01-2018,21:00,536,362
10-01-2018,21:30,526,363
10-01-2018,22:00,514,378
10-01-2018,22:30,551,360
10-01-2018,23:00,523,371
10-01-2018,23:30,580,370
11-01-2018,00:00,491,383
11-01-2018,00:30,512,373
11-01-2018,01:00,486,387
11-01-2018,01:30,508,385
11-01-2018,02:00,487,377
11-01-2018,02:30,483,371
11-01-2018,03:00,490,384
11-01-2018,03:30,513,385
11-01-2018,04:00,496,372
11-01-2018,04:30,491,372
11-01-2018,05:00,482,372
11-01-2018,05:30,500,373
11-01-2018,06:00,470,372
11-01-2018,06:30,510,373
11-01-2018,07:00,478,378
11-01-2018,07:30,476,372
11-01-2018,08:00,477,376
11-01-2018,08:30,498,387
11-01-2018,09:00,453,381
11-01-2018,09:30,503,382
11-01-2018,10:00,789,386
11-01-2018,10:30,743,390
11-01-2018,11:00,748,376
11-01-2018,11:30,779,375
11-01-2018,12:00,776,379
11-01-2018,12:30,780,385
11-01-2018,13:00,749,384
11-01-2018,13:30,750,380
11-01-2018,14:00,702,378
11-01-2018,14:30,756,378
11-01-2018,15:00,710,378
11-01-2018,15:30,753,378
11-01-2018,16:00,707,385
11-01-2018,16:30,742,383
11-01-2018,17:00,516,388
11-01-2018,17:30,539,390
11-01-2018,18:00,511,386
11-01-2018,18:30,480,375
11-01-2018,19:00,454,372
11-01-2018,19:30,477,389
11-01-2018,20:00,444,381
11-01-2018,20:30,496,372
11-01-2018,21:00,522,374
11-01-2018,21:30,503,377
11-01-2018,22:00,495,376
11-01-2018,22:30,502,386
11-01-2018,23:00,517,372
11-01-2018,23:30,523,388
12-01-2018,00:00,571,365
12-01-2018,00:30,540,361
12-01-2018,01:00,540,365
12-01-2018,01:30,538,363
12-01-2018,02:00,540,370
12-01-2018,02:30,520,372
12-01-2018,03:00,547,375
12-01-2018,03:30,547,378
12-01-2018,04:00,497,359
12-01-2018,04:30,505,375
12-01-2018,05:00,515,369
12-01-2018,05:30,552,375
12-01-2018,06:00,545,363
12-01-2018,06:30,537,359
12-01-2018,07:00,562,365
12-01-2018,07:30,522,370
12-01-2018,08:00,509,372
12-01-2018,08:30,533,369
12-01-2018,09:00,522,368
12-01-2018,09:30,536,372
12-01-2018,10:00,777,371
12-01-2018,10:30,802,374
12-01-2018,11:00,817,359
12-01-2018,11:30,784,359
12-01-2018,12:00,821,368
12-01-2018,12:30,832,377
12-01-2018,13:00,778,365
12-01-2018,13:30,815,365
12-01-2018,14:00,786,361
12-01-2018,14:30,777,368
12-01-2018,15:00,809,366
12-01-2018,15:30,819,364
12-01-2018,16:00,827,360
12-01-2018,16:30,829,374
12-01-2018,17:00,553,369
12-01-2018,17:30,493,372
12-01-2018,18:00,579,368
12-01-2018,18:30,527,369
12-01-2018,19:00,524,372
12-01-2018,19:30,554,370
12-01-2018,20:00,553,378
12-01-2018,20:30,564,364
12-01-2018,21:00,525,378
12-01-2018,21:30,554,364
12-01-2018,22:00,500,361
12-01-2018,22:30,560,374
12-01-2018,23:00,533,367
12-01-2018,23:30,586,377
13-01-2018,00:00,316,330
13-01-2018,00:30,339,339
13-01-2018,01:00,306,320
13-01-2018,01:30,364,334
13-01-2018,02:00,324,322
13-01-2018,02:30,355,334
13-01-2018,03:00,323,335
13-01-2018,03:30,337,327
13-01-2018,04:00,341,320
13-01-2018,04:30,315,329
13-01-2018,05:00,334,327
13-01-2018,05:30,328,334
13-01-2018,06:00,323,327
13-01-2018,06:30,351,329
13-01-2018,07:00,317,328
13-01-2018,07:30,357,339
13-01-2018,08:00,334,336
13-01-2018,08:30,346,337
13-01-2018,09:00,325,321
13-01-2018,09:30,317,320
13-01-2018,10:00,429,324
13-01-2018,10:30,419,330
13-01-2018,11:00,469,327
13-01-2018,11:30,421,320
13-01-2018,12:00,412,324
13-01-2018,12:30,391,337
13-01-2018,13:00,383,323
13-01-2018,13:30,386,321
13-01-2018,14:00,387,335
13-01-2018,14:30,393,324
13-01-2018,15:00,363,336
13-01-2018,15:30,387,322
13-01-2018,16:00,416,336
13-01-2018,16:30,366,339
13-01-2018,17:00,339,320
13-01-2018,17:30,306,333
13-01-2018,18:00,311,327
13-01-2018,18:30,323,326
13-01-2018,19:00,324,333
13-01-2018,19:30,340,326
13-01-2018,20:00,324,324
13-01-2018,20:30,319,331
13-01-2018,21:00,364,325
13-01-2018,21:30,328,330
13-01-2018,22:00,333,325
13-01-2018,22:30,337,321
13-01-2018,23:00,318,324
13-01-2018,23:30,348,323
14-01-2018,00:00,326,322
14-01-2018,00:30,325,318
14-01-2018,01:00,312,322
14-01-2018,01:30,324,318
14-01-2018,02:00,325,321
14-01-2018,02:30,347,323
14-01-2018,03:00,310,317
14-01-2018,03:30,324,319
14-01-2018,04:00,330,318
14-01-2018,04:30,330,328
14-01-2018,05:00,324,325
14-01-2018,05:30,308,325
14-01-2018,06:00,328,322
14-01-2018,06:30,322,330
14-01-2018,07:00,325,329
14-01-2018,07:30,299,321
14-01-2018,08:00,283,324
14-01-2018,08:30,322,319
14-01-2018,09:00,289,327
14-01-2018,09:30,307,333
14-01-2018,10:00,375,332
14-01-2018,10:30,399,316
14-01-2018,11:00,385,328
14-01-2018,11:30,407,320
14-01-2018,12:00,405,320
14-01-2018,12:30,395,328
14-01-2018,13:00,400,331
14-01-2018,13:30,409,321
14-01-2018,14:00,380,318
14-01-2018,14:30,422,317
14-01-2018,15:00,414,324
14-01-2018,15:30,362,316
14-01-2018,16:00,415,318
14-01-2018,16:30,375,329
14-01-2018,17:00,315,334
14-01-2018,17:30,299,322
14-01-2018,18:00,328,330
14-01-2018,18:30,301,330
14-01-2018,19:00,326,317
14-01-2018,19:30,305,327
14-01-2018,20:00,348,320
14-01-2018,20:30,305,317
14-01-2018,21:00,305,317
14-01-2018,21:30,304,321
14-01-2018,22:00,323,322
14-01-2018,22:30,311,334
14-01-2018,23:00,332,318
14-01-2018,23:30,358,317
15-01-2018,00:00,533,399
15-01-2018,00:30,493,414
15-01-2018,01:00,539,398
15-01-2018,01:30,553,410
15-01-2018,02:00,542,411
15-01-2018,02:30,543,401
15-01-2018,03:00,524,416
15-01-2018,03:30,514,404
15-01-2018,04:00,497,417
15-01-2018,04:30,514,399
15-01-2018,05:00,542,403
15-01-2018,05:30,539,412
15-01-2018,06:00,495,410
15-01-2018,06:30,514,409
15-01-2018,07:00,533,401
15-01-2018,07:30,508,411
15-01-2018,08:00,521,398
15-01-2018,08:30,488,405
15-01-2018,09:00,486,413
15-01-2018,09:30,531,408
15-01-2018,10:00,797,406
15-01-2018,10:30,792,410
15-01-2018,11:00,761,403
15-01-2018,11:30,823,406
15-01-2018,12:00,824,410
15-01-2018,12:30,787,411
15-01-2018,13:00,766,417
15-01-2018,13:30,790,401
15-01-2018,14:00,790,409
15-01-2018,14:30,804,413
15-01-2018,15:00,787,400
15-01-2018,15:30,745,400
15-01-2018,16:00,777,404
15-01-2018,16:30,816,399
15-01-2018,17:00,503,398
15-01-2018,17:30,499,410
15-01-2018,18:00,551,400
15-01-2018,18:30,524,401
15-01-2018,19:00,510,415
15-01-2018,19:30,515,400
15-01-2018,20:00,502,413
15-01-2018,20:30,542,415
15-01-2018,21:00,510,407
15-01-2018,21:30,551,400
15-01-2018,22:00,530,417
15-01-2018,22:30,543,402
15-01-2018,23:00,529,414
15-01-2018,23:30,547,403
16-01-2018,00:00,510,416
16-01-2018,00:30,468,400
16-01-2018,01:00,463,412
16-01-2018,01:30,499,411
16-01-2018,02:00,516,406
16-01-2018,02:30,482,412
16-01-2018,03:00,494,400
16-01-2018,03:30,490,399
16-01-2018,04:00,460,408
16-01-2018,04:30,512,399
16-01-2018,05:00,523,413
16-01-2018,05:30,474,408
16-01-2018,06:00,474,401
16-01-2018,06:30,487,401
16-01-2018,07:00,520,418
16-01-2018,07:30,529,399
16-01-2018,08:00,511,415
16-01-2018,08:30,504,413
16-01-2018,09:00,528,416
16-01-2018,09:30,518,402
16-01-2018,10:00,741,417
16-01-2018,10:30,699,411
16-01-2018,11:00,778,415
16-01-2018,11:30,730,400
16-01-2018,12:00,757,410
16-01-2018,12:30,750,417
16-01-2018,13:00,737,400
16-01-2018,13:30,746,407
16-01-2018,14:00,771,417
16-01-2018,14:30,722,412
16-01-2018,15:00,715,414
16-01-2018,15:30,703,411
16-01-2018,16:00,775,412
16-01-2018,16:30,799,399
16-01-2018,17:00,505,411
16-01-2018,17:30,528,399
16-01-2018,18:00,517,401
16-01-2018,18:30,483,414
16-01-2018,19:00,503,415
16-01-2018,19:30,476,418
16-01-2018,20:00,488,415
16-01-2018,20:30,471,410
16-01-2018,21:00,475,417
16-01-2018,21:30,467,412
16-01-2018,22:00,513,417
16-01-2018,22:30,509,405
16-01-2018,23:00,522,410
16-01-2018,23:30,521,408
17-01-2018,00:00,528,327
17-01-2018,00:30,552,334
17-01-2018,01:00,478,325
17-01-2018,01:30,512,327
17-01-2018,02:00,531,332
17-01-2018,02:30,499,321
17-01-2018,03:00,488,318
17-01-2018,03:30,490,334
17-01-2018,04:00,484,323
17-01-2018,04:30,522,315
17-01-2018,05:00,492,320
17-01-2018,05:30,494,320
17-01-2018,06:00,425,324
17-01-2018,06:30,516,327
17-01-2018,07:00,499,331
17-01-2018,07:30,520,327
17-01-2018,08:00,498,332
17-01-2018,08:30,482,315
17-01-2018,09:00,490,324
17-01-2018,09:30,526,318
17-01-2018,10:00,748,333
17-01-2018,10:30,711,320
17-01-2018,11:00,725,327
17-01-2018,11:30,724,333
17-01-2018,12:00,705,332
17-01-2018,12:30,766,331
17-01-2018,13:00,746,332
17-01-2018,13:30,768,323
17-01-2018,14:00,792,331
17-01-2018,14:30,686,329
17-01-2018,15:00,787,334
17-01-2018,15:30,728,324
17-01-2018,16:00,762,327
17-01-2018,16:30,727,329
17-01-2018,17:00,504,331
17-01-2018,17:30,490,322
17-01-2018,18:00,513,327
17-01-2018,18:30,532,330
17-01-2018,19:00,533,332
17-01-2018,19:30,492,327
17-01-2018,20:00,532,325
17-01-2018,20:30,503,316
17-01-2018,21:00,482,316
17-01-2018,21:30,498,329
17-01-2018,22:00,478,315
17-01-2018,22:30,474,323
17-01-2018,23:00,482,326
17-01-2018,23:30,564,330
18-01-2018,00:00,617,409
18-01-2018,00:30,600,408
18-01-2018,01:00,615,407
18-01-2018,01:30,578,403
18-01-2018,02:00,607,397
18-01-2018,02:30,566,406
18-01-2018,03:00,601,409
18-01-2018,03:30,596,401
18-01-2018,04:00,578,391
18-01-2018,04:30,572,396
18-01-2018,05:00,572,391
18-01-2018,05:30,584,410
18-01-2018,06:00,584,391
18-01-2018,06:30,570,398
18-01-2018,07:00,597,398
18-01-2018,07:30,570,409
18-01-2018,08:00,575,391
18-01-2018,08:30,578,407
18-01-2018,09:00,578,397
18-01-2018,09:30,563,394
18-01-2018,10:00,856,398
18-01-2018,10:30,885,403
18-01-2018,11:00,873,409
18-01-2018,11:30,902,408
18-01-2018,12:00,926,401
18-01-2018,12:30,901,409
18-01-2018,13:00,834,410
18-01-2018,13:30,900,408
18-01-2018,14:00,881,407
18-01-2018,14:30,875,407
18-01-2018,15:00,872,395
18-01-2018,15:30,848,406
18-01-2018,16:00,827,393
18-01-2018,16:30,931,401
18-01-2018,17:00,634,397
18-01-2018,17:30,534,397
18-01-2018,18:00,551,405
18-01-2018,18:30,618,408
18-01-2018,19:00,626,406
18-01-2018,19:30,587,407
18-01-2018,20:00,594,409
18-01-2018,20:30,589,391
18-01-2018,21:00,617,397
18-01-2018,21:30,611,397
18-01-2018,22:00,594,393
18-01-2018,22:30,600,410
18-01-2018,23:00,574,396
18-01-2018,23:30,608,406
19-01-2018,00:00,501,451
19-01-2018,00:30,521,445
19-01-2018,01:00,542,443
19-01-2018,01:30,509,451
19-01-2018,02:00,564,454
19-01-2018,02:30,526,446
19-01-2018,03:00,531,452
19-01-2018,03:30,566,456
19-01-2018,04:00,605,440
19-01-2018,04:30,561,445
19-01-2018,05:00,532,457
19-01-2018,05:30,502,453
19-01-2018,06:00,538,459
19-01-2018,06:30,578,458
19-01-2018,07:00,521,449
19-01-2018,07:30,549,455
19-01-2018,08:00,519,445
19-01-2018,08:30,564,456
19-01-2018,09:00,582,458
19-01-2018,09:30,525,458
19-01-2018,10:00,838,450
19-01-2018,10:30,803,458
19-01-2018,11:00,787,457
19-01-2018,11:30,837,448
19-01-2018,12:00,821,455
19-01-2018,12:30,776,440
19-01-2018,13:00,823,446
19-01-2018,13:30,840,449
19-01-2018,14:00,823,455
19-01-2018,14:30,879,450
19-01-2018,15:00,809,442
19-01-2018,15:30,847,444
19-01-2018,16:00,837,457
19-01-2018,16:30,798,454
19-01-2018,17:00,541,450
19-01-2018,17:30,547,447
19-01-2018,18:00,540,442
19-01-2018,18:30,496,441
19-01-2018,19:00,515,446
19-01-2018,19:30,556,447
19-01-2018,20:00,574,444
19-01-2018,20:30,548,453
19-01-2018,21:00,544,444
19-01-2018,21:30,518,449
19-01-2018,22:00,535,448
19-01-2018,22:30,536,445
19-01-2018,23:00,567,451
19-01-2018,23:30,572,445
20-01-2018,00:00,349,359
20-01-2018,00:30,356,373
20-01-2018,01:00,362,369
20-01-2018,01:30,355,375
20-01-2018,02:00,378,365
20-01-2018,02:30,365,375
20-01-2018,03:00,333,363
20-01-2018,03:30,312,363
20-01-2018,04:00,308,361
20-01-2018,04:30,361,372
20-01-2018,05:00,277,363
20-01-2018,05:30,336,359
20-01-2018,06:00,342,363
20-01-2018,06:30,377,366
20-01-2018,07:00,373,369
20-01-2018,07:30,341,357
20-01-2018,08:00,360,371
20-01-2018,08:30,319,371
